Trial,Program,n,W,T
3,mutex homequeue,27,4000,396509
3,mutex awesome,27,4000,2056590
3,clh homequeue,27,4000,179365
3,clh awesome,27,4000,2220906
3,serial,27,8000,105597
3,lockfree,27,8000,159731
3,mutex homequeue,27,8000,204987
3,mutex awesome,27,8000,1128034
3,clh homequeue,27,8000,171257
3,clh awesome,27,8000,845443
4,serial,1,1000,799968
4,lockfree,1,1000,765943
4,mutex homequeue,1,1000,735023
4,mutex awesome,1,1000,732535
4,clh homequeue,1,1000,757964
4,clh awesome,1,1000,758333
4,serial,1,2000,411788
4,lockfree,1,2000,402788
4,mutex homequeue,1,2000,393761
4,mutex awesome,1,2000,393229
4,clh homequeue,1,2000,401072
4,clh awesome,1,2000,401097
4,serial,1,4000,209234
4,lockfree,1,4000,206854
4,mutex homequeue,1,4000,204493
4,mutex awesome,1,4000,204396
4,clh homequeue,1,4000,206544
4,clh awesome,1,4000,206669
4,serial,1,8000,105514
4,lockfree,1,8000,104932
4,mutex homequeue,1,8000,104287
4,mutex awesome,1,8000,104239
4,clh homequeue,1,8000,104772
4,clh awesome,1,8000,104797
4,serial,2,1000,800286
4,lockfree,2,1000,1413499
4,mutex homequeue,2,1000,1330739
4,mutex awesome,2,1000,1447586
4,clh homequeue,2,1000,1401430
4,clh awesome,2,1000,1503443
4,serial,2,2000,411814
4,lockfree,2,2000,740347
4,mutex homequeue,2,2000,717174
4,mutex awesome,2,2000,783094
4,clh homequeue,2,2000,734912
4,clh awesome,2,2000,796218
4,serial,2,4000,209290
4,lockfree,2,4000,376849
4,mutex homequeue,2,4000,371942
4,mutex awesome,2,4000,407947
4,clh homequeue,2,4000,375884
4,clh awesome,2,4000,411244
4,serial,2,8000,105308
4,lockfree,2,8000,191253
4,mutex homequeue,2,8000,188316
4,mutex awesome,2,8000,208181
4,clh homequeue,2,8000,190933
4,clh awesome,2,8000,209156
4,serial,3,1000,799752
4,lockfree,3,1000,1404165
4,mutex homequeue,3,1000,1355129
4,mutex awesome,3,1000,2062572
4,clh homequeue,3,1000,1417469
4,clh awesome,3,1000,2150023
4,serial,3,2000,411807
4,lockfree,3,2000,732833
4,mutex homequeue,3,2000,718720
4,mutex awesome,3,2000,1149263
4,clh homequeue,3,2000,733566
4,clh awesome,3,2000,1166706
4,serial,3,4000,209361
4,lockfree,3,4000,370719
4,mutex homequeue,3,4000,365964
4,mutex awesome,3,4000,607247
4,clh homequeue,3,4000,369534
4,clh awesome,3,4000,611865
4,serial,3,8000,105312
4,lockfree,3,8000,186478
4,mutex homequeue,3,8000,186282
4,mutex awesome,3,8000,310601
4,clh homequeue,3,8000,188208
4,clh awesome,3,8000,312383
4,serial,7,1000,799771
4,lockfree,7,1000,2839724
4,mutex homequeue,7,1000,2766225
4,mutex awesome,7,1000,3679849
4,clh homequeue,7,1000,2874969
4,clh awesome,7,1000,3290613
4,serial,7,2000,411551
4,lockfree,7,2000,1414827
4,mutex homequeue,7,2000,1441337
4,mutex awesome,7,2000,2645825
4,clh homequeue,7,2000,1484001
4,clh awesome,7,2000,2669650
4,serial,7,4000,208831
4,lockfree,7,4000,743051
4,mutex homequeue,7,4000,739779
4,mutex awesome,7,4000,1403527
4,clh homequeue,7,4000,752151
4,clh awesome,7,4000,1424912
4,serial,7,8000,105210
4,lockfree,7,8000,375528
4,mutex homequeue,7,8000,373821
4,mutex awesome,7,8000,721112
4,clh homequeue,7,8000,379803
4,clh awesome,7,8000,723365
4,serial,13,1000,800540
4,lockfree,13,1000,2987169
4,mutex homequeue,13,1000,3488376
4,mutex awesome,13,1000,2748901
4,clh homequeue,13,1000,3129819
4,clh awesome,13,1000,2125329
4,serial,13,2000,412191
4,lockfree,13,2000,2531735
4,mutex homequeue,13,2000,2781820
4,mutex awesome,13,2000,3364621
4,clh homequeue,13,2000,2734539
4,clh awesome,13,2000,2571623
4,serial,13,4000,209547
4,lockfree,13,4000,1392293
4,mutex homequeue,13,4000,1422000
4,mutex awesome,13,4000,2603568
4,clh homequeue,13,4000,1427395
4,clh awesome,13,4000,2611962
4,serial,13,8000,104858
4,lockfree,13,8000,655256
4,mutex homequeue,13,8000,720905
4,mutex awesome,13,8000,1341522
4,clh homequeue,13,8000,723699
4,clh awesome,13,8000,1339428
4,serial,27,1000,798795
4,lockfree,27,1000,1278949
4,mutex homequeue,27,1000,1427070
4,mutex awesome,27,1000,1866936
4,clh homequeue,27,1000,1450198
4,clh awesome,27,1000,895416
4,serial,27,2000,411669
4,lockfree,27,2000,490898
4,mutex homequeue,27,2000,470545
4,mutex awesome,27,2000,2851325
4,clh homequeue,27,2000,340743
4,clh awesome,27,2000,1221840
4,serial,27,4000,208494
4,lockfree,27,4000,462792
4,mutex homequeue,27,4000,167489
4,mutex awesome,27,4000,2226523
4,clh homequeue,27,4000,285373
4,clh awesome,27,4000,1434239
4,serial,27,8000,104814
4,lockfree,27,8000,193467
4,mutex homequeue,27,8000,107786
4,mutex awesome,27,8000,940552
4,clh homequeue,27,8000,121285
4,clh awesome,27,8000,1119294
5,serial,1,1000,799857
5,lockfree,1,1000,765709
5,mutex homequeue,1,1000,735356
5,mutex awesome,1,1000,732765
5,clh homequeue,1,1000,757634
5,clh awesome,1,1000,758253
5,serial,1,2000,411843
5,lockfree,1,2000,403212
5,mutex homequeue,1,2000,393499
5,mutex awesome,1,2000,393498
5,clh homequeue,1,2000,401601
5,clh awesome,1,2000,401535
5,serial,1,4000,209228
5,lockfree,1,4000,207035
5,mutex homequeue,1,4000,204379
5,mutex awesome,1,4000,204361
5,clh homequeue,1,4000,206391
5,clh awesome,1,4000,206483
5,serial,1,8000,105488
5,lockfree,1,8000,104910
5,mutex homequeue,1,8000,104258
5,mutex awesome,1,8000,104253
5,clh homequeue,1,8000,104803
5,clh awesome,1,8000,104833
5,serial,2,1000,799966
5,lockfree,2,1000,1026205
5,mutex homequeue,2,1000,982830
5,mutex awesome,2,1000,1379886
5,clh homequeue,2,1000,1012919
5,clh awesome,2,1000,1437747
5,serial,2,2000,411664
5,lockfree,2,2000,527456
5,mutex homequeue,2,2000,516055
5,mutex awesome,2,2000,766184
5,clh homequeue,2,2000,526001
5,clh awesome,2,2000,781897
5,serial,2,4000,209320
5,lockfree,2,4000,268763
5,mutex homequeue,2,4000,265793
5,mutex awesome,2,4000,402424
5,clh homequeue,2,4000,265740
5,clh awesome,2,4000,406523
5,serial,2,8000,105276
5,lockfree,2,8000,135221
