Trial,Program,n,W,T
4,clh awesome,2,4000,412744
4,serial,2,8000,105802
4,lockfree,2,8000,205908
4,mutex homequeue,2,8000,204569
4,mutex awesome,2,8000,208255
4,clh homequeue,2,8000,205534
4,clh awesome,2,8000,208910
4,serial,3,1000,820848
4,lockfree,3,1000,2234619
4,mutex homequeue,3,1000,2143647
4,mutex awesome,3,1000,2192527
4,clh homequeue,3,1000,2233398
4,clh awesome,3,1000,2269053
4,serial,3,2000,416892
4,lockfree,3,2000,1140997
4,mutex homequeue,3,2000,1145531
4,mutex awesome,3,2000,1176966
4,clh homequeue,3,2000,1177558
4,clh awesome,3,2000,1204361
4,serial,3,4000,210450
4,lockfree,3,4000,600361
4,mutex homequeue,3,4000,591367
4,mutex awesome,3,4000,610617
4,clh homequeue,3,4000,603214
4,clh awesome,3,4000,619262
4,serial,3,8000,105654
4,lockfree,3,8000,303225
4,mutex homequeue,3,8000,301098
4,mutex awesome,3,8000,311217
4,clh homequeue,3,8000,305386
4,clh awesome,3,8000,313086
4,serial,7,1000,821415
4,lockfree,7,1000,4956368
4,mutex homequeue,7,1000,4888416
4,mutex awesome,7,1000,5052976
4,clh homequeue,7,1000,5043973
4,clh awesome,7,1000,4668602
4,serial,7,2000,417837
4,lockfree,7,2000,2645412
4,mutex homequeue,7,2000,2641776
4,mutex awesome,7,2000,2733712
4,clh homequeue,7,2000,2693337
4,clh awesome,7,2000,2796996
4,serial,7,4000,210427
4,lockfree,7,4000,1349429
4,mutex homequeue,7,4000,1355840
4,mutex awesome,7,4000,1433906
4,clh homequeue,7,4000,1354828
4,clh awesome,7,4000,1441697
4,serial,7,8000,105546
4,lockfree,7,8000,692266
4,mutex homequeue,7,8000,687912
4,mutex awesome,7,8000,725396
4,clh homequeue,7,8000,684457
4,clh awesome,7,8000,726790
4,serial,13,1000,821080
4,lockfree,13,1000,3161267
4,mutex homequeue,13,1000,4037644
4,mutex awesome,13,1000,2916008
4,clh homequeue,13,1000,3357598
4,clh awesome,13,1000,2308699
4,serial,13,2000,418054
4,lockfree,13,2000,4138929
4,mutex homequeue,13,2000,4845543
4,mutex awesome,13,2000,5050060
4,clh homequeue,13,2000,4857536
4,clh awesome,13,2000,3416137
4,serial,13,4000,210509
4,lockfree,13,4000,2349771
4,mutex homequeue,13,4000,2511931
4,mutex awesome,13,4000,2662604
4,clh homequeue,13,4000,2471354
4,clh awesome,13,4000,2664746
4,serial,13,8000,105872
4,lockfree,13,8000,1152152
4,mutex homequeue,13,8000,1278600
4,mutex awesome,13,8000,1355565
4,clh homequeue,13,8000,1282130
4,clh awesome,13,8000,1356859
4,serial,27,1000,821097
